@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute class {1 2 }
@data
0.002842,0.000081,0.002661,0.000106,0.002716,0.000131,0.008851,0.004621,0.002678,0.000802,0.004826,0.004212,0.063693,2.288066,0.135881,1.333333,0.509852,11.604938,3.004420,1.934092,2.982139,0.863825,1.293708,-0.046831,0.366236,0.005610,0.008652,294.000000,0.751918,0.951456,0.798913,1.000000,67.213203,0.794000,24.095951,15.885404,-14.122131,1
0.002847,0.000078,0.002657,0.000111,0.002713,0.000137,0.008938,0.004555,0.002709,0.000910,0.004847,0.004197,0.050356,2.590164,0.221941,1.528269,0.517840,8.836066,4.038699,2.107127,3.176160,1.078474,1.384620,-0.063215,0.436999,0.001983,0.004164,293.000000,0.786006,0.933121,0.796196,1.000000,67.798990,0.777881,25.138573,15.541152,-10.913158,1
0.002835,0.000073,0.002679,0.000109,0.002734,0.000126,0.008819,0.005623,0.002815,0.000776,0.005290,0.004844,0.039826,2.949367,0.303272,2.143674,0.486288,10.071730,5.442112,2.244109,3.398511,1.160320,1.423028,-0.068577,0.464126,0.002270,0.004419,288.000000,0.640765,0.950495,0.770053,1.000000,64.041631,0.855499,22.021127,16.906439,6.628639,1
0.002838,0.000078,0.002647,0.000102,0.002695,0.000130,0.008667,0.005664,0.002535,0.000643,0.004326,0.004299,0.054951,2.891566,0.229427,1.880421,0.486867,9.060241,4.610829,2.163003,3.250949,1.135143,1.413032,-0.069197,0.456428,0.002405,0.008233,302.000000,0.618888,0.974194,0.762626,1.000000,64.284271,0.890430,22.354470,17.558980,-0.872448,1
0.002869,0.000079,0.002632,0.000108,0.002684,0.000144,0.008098,0.003780,0.002422,0.000622,0.003895,0.003305,0.051599,3.256705,0.013182,1.600065,0.471618,10.038314,3.331865,2.002461,3.226467,1.290263,1.466044,-0.048304,0.385875,0.004436,0.003413,315.000000,0.738555,0.966258,0.729167,1.000000,65.941125,0.883353,24.454740,16.487217,-25.085683,1
0.002817,0.000078,0.002665,0.000114,0.002701,0.000126,0.008188,0.004115,0.002590,0.000625,0.004222,0.003529,0.048514,2.651260,0.339090,2.086364,0.508379,9.155462,5.366588,2.235260,3.340922,1.072965,1.373076,-0.088555,0.518198,0.000871,0.002160,301.000000,0.763724,0.977273,0.716667,1.000000,63.941125,0.896885,24.509543,15.821973,-45.722517,1
0.002726,0.000065,0.002615,0.000080,0.002646,0.000092,0.007876,0.003642,0.002619,0.000614,0.004315,0.003360,0.034534,4.893701,0.026800,2.637067,0.397453,8.901575,5.120234,2.209315,3.593144,1.768879,1.628812,-0.046543,0.399040,0.007232,0.004390,322.000000,0.608227,0.969880,0.777778,1.000000,65.698485,0.909565,22.789548,18.089496,88.532121,1
0.002785,0.000074,0.002623,0.000091,0.002680,0.000118,0.007789,0.003558,0.002669,0.000732,0.004692,0.003523,0.041441,3.091837,0.266979,2.160176,0.476134,9.248299,5.343109,2.229373,3.403197,1.212886,1.438806,-0.079904,0.497865,0.005039,0.000903,365.000000,0.621903,0.958005,0.800439,1.000000,71.455844,0.873687,24.571012,19.241415,79.554989,1
0.002779,0.000084,0.002663,0.000088,0.002696,0.000102,0.007592,0.003689,0.002826,0.000506,0.004323,0.003147,0.043750,2.982143,0.304023,1.904987,0.509885,8.953571,5.344273,2.216573,3.389034,1.282844,1.454024,-0.070019,0.470477,0.002294,0.007458,346.000000,0.784187,0.966480,0.683794,1.000000,70.769553,0.844123,26.863101,16.669226,-35.928551,1
0.002752,0.000068,0.002683,0.000095,0.002709,0.000093,0.007161,0.003136,0.003045,0.000556,0.004832,0.003022,0.055803,2.671233,0.095135,1.502287,0.492587,8.780822,3.225934,1.988789,3.141882,1.013136,1.366192,-0.038646,0.341856,0.004703,0.004900,370.000000,0.779303,0.951157,0.711538,1.000000,74.183766,0.822552,27.561878,17.271580,-71.740511,1
0.002686,0.000060,0.002577,0.000078,0.002609,0.000089,0.007523,0.002524,0.002541,0.000540,0.004167,0.002853,0.046949,3.075377,0.169430,1.888173,0.482626,8.294807,4.328499,2.140567,3.353035,1.225412,1.450015,-0.030827,0.316383,0.002727,0.003547,689.000000,0.684726,0.946429,0.716962,1.000000,101.840620,0.818653,35.013719,25.518026,-39.685424,1
0.002603,0.000063,0.002462,0.000090,0.002496,0.000104,0.007521,0.003386,0.002527,0.000617,0.003965,0.003046,0.058876,3.073077,0.053384,1.663595,0.475714,7.850000,3.389038,2.001127,3.107116,1.187737,1.437776,-0.049456,0.384072,0.000385,0.005734,331.000000,0.707694,0.951149,0.766204,1.000000,68.284271,0.866500,24.548514,17.343991,81.502967,1
0.002594,0.000060,0.002451,0.000084,0.002482,0.000100,0.007305,0.002702,0.002443,0.000605,0.003671,0.002656,0.046391,3.649254,0.020575,1.785921,0.457226,8.783582,3.781522,2.059433,3.332466,1.443807,1.502871,-0.060200,0.434450,0.005146,0.000761,338.000000,0.670525,0.971264,0.782407,1.000000,67.698485,0.899979,24.155361,17.920544,83.986928,1
0.002731,0.000082,0.002543,0.000094,0.002588,0.000125,0.008806,0.005346,0.002548,0.000597,0.004250,0.004091,0.033353,4.932127,0.058403,2.782621,0.399408,10.126697,5.531459,2.241743,3.617919,1.817940,1.633975,-0.061404,0.455728,0.006671,0.005735,278.000000,0.685865,0.975439,0.770083,1.000000,61.455844,0.895588,22.260502,16.199606,41.542500,1
0.002690,0.000068,0.002602,0.000092,0.002628,0.000097,0.008452,0.005230,0.002812,0.000569,0.004695,0.004160,0.038100,3.703540,0.185289,2.236902,0.452214,8.535398,5.381490,2.235184,3.486400,1.426913,1.519254,-0.068532,0.469423,0.003189,0.005115,287.000000,0.568739,0.944079,0.755263,1.000000,64.284271,0.846203,21.314852,17.531846,58.504573,1
0.002665,0.000075,0.002538,0.000094,0.002586,0.000107,0.007401,0.003236,0.002925,0.000694,0.004902,0.003255,0.064377,2.561403,0.113858,1.664586,0.537988,10.729825,3.179637,1.979107,3.055653,1.154891,1.389901,-0.052652,0.399449,0.005156,0.003525,351.000000,0.749669,0.956403,0.664773,1.000000,71.597980,0.836889,26.195358,17.336429,43.715886,1
0.002640,0.000066,0.002487,0.000083,0.002523,0.000104,0.007238,0.002535,0.002489,0.000581,0.003740,0.002602,0.039500,3.426621,0.163194,2.066722,0.453184,8.853242,4.719076,2.178545,3.432398,1.272839,1.476516,-0.042637,0.373399,0.004259,0.003231,352.000000,0.491901,0.969697,0.800000,1.000000,68.284271,0.921474,22.805150,19.855332,5.130026,1
0.002671,0.000072,0.002503,0.000101,0.002555,0.000124,0.008313,0.003149,0.003002,0.001290,0.004856,0.003430,0.054286,2.877193,0.089270,1.591932,0.483814,9.026316,3.437904,2.029898,3.200963,1.122730,1.396189,-0.051260,0.394091,0.001825,0.001617,285.000000,0.676274,0.940594,0.714286,1.000000,63.698485,0.855592,22.515921,16.586359,-32.681816,1
